"Image Reference","Transcript","GTP-4o Translation","DYKG (Human) Translation","GTP-4o translation notes","Translation Inconsistencies","Inconsistencies Fixes"
"scan/entry_001.png","98-10-6 (火) ""SEGAの「ニューチャレンジカンファレンス2」に行って来た。 これからの次世代ハードでも、やはりフルポリゴンではきついようだ。 DCやPS2で映画的なビジュアル・クオリティを求めるのなら、フルポリゴンは避けるのが得策だろう。 結局、PCで動いていた数のモデル数でポリゴン数を増やして、少し綺麗になったという印象しかあたえない。ディテールにこだわっても限界がある。ものの見え方の神髄を見抜くべきだ。 今日のDCソフトを観て、『MGS2』の方向性が見えた。 映像のクオリティではない。あくまでもゲーム。 これまでできなかったゲーム性、要素を優先する。 たとえ、そのためにローポリゴンになったとしても。 例えば敵兵の死体を残す、敵兵を100人などなど･･････。""","1998-10-06 (Tuesday) I attended SEGA’s ""New Challenge Conference 2."" It seems that with the upcoming next-generation hardware, full polygons will still be tough to handle. If we aim for film-quality visuals on the Dreamcast or PS2, it’s probably best to avoid full polygons. In the end, even with increased polygon counts on models that previously ran on PCs, the result only gives a slightly better impression. There’s a limit to focusing on details. We need to grasp the essence of how things appear. After seeing today’s Dreamcast software, I got a clear sense of the direction for MGS2. It’s not about the quality of the visuals. It’s about the game itself. The focus will be on gameplay and elements that couldn’t be achieved before, even if that means using low-polygon models. For example, leaving enemy soldiers' corpses on the ground or having 100 enemy soldiers, and so on.","-98/10/6 (Tuesday) I went to SEGA’s “New Challenge Conference 2”. It seems like this next generation of consoles will be tough for full polygon. If you’re looking for cinematic visual quality on the DC or PS2, seems like it’s best to avoid full polygon. Ultimately, the impression I got was that for games on PC, the number of polygons has increased to make thinks look a bit prettier, but there are still limits to how detailed things can get. You need to get to the essence of how things are going to look. Looking at these DC games today, I saw the direction of MGS2. It won’t be cinematic quality. It’s a game at the end of the day, one that prioritizes gameplay and elements that weren’t possible before. Even if that means being low polygon. Like having dead enemies remain, even 100 of them……","","",""
"scan/entry_002.png","""【98・10・7(水)】 松花、西村、中村と「プライベート・ライアン」を観に行く。 前売り券も準備、いざ渋東シネタワーへ。 と、なんと、すでに立ち見状態ではないか！ すげぇー人気？ ……と「本日は1000円！」とのアナウンス。 そうか、映画の日であったのだ。 3時間もの映画を立ち見する体力もなく、どうしようと思って顔をあげたとたん、向かいの映画館の看板が目に入る。 『オースティン・パワーズ』……。 さっそく、小雨の車道を横断、『オースティン』に変更。 いやあああああ、面白かった。 でも、この笑いは30代以上の人間にしかわからないのでは? 『MGS2』開発にあたって、もう一度、『007』を見直さないといけないかも""","October 7, 1998 (Wednesday) I went to see Saving Private Ryan with Matsubana, Nishimura, and Nakamura. We had our advance tickets ready and headed to Shibuya Cine Tower. But wow, it was already standing room only! Is it that popular? ...and then I heard an announcement: ""Today, tickets are 1,000 yen!"" Oh, right, it was Movie Day. I didn’t have the stamina to stand for a 3-hour movie, so I looked up, and just then, the sign for the theater across the street caught my eye. Austin Powers... We quickly crossed the lightly raining street and switched to Austin. Man, it was hilarious. But I wonder if this kind of humor is only understandable to people in their 30s and up? When developing MGS2, I might need to rewatch 007.","I went to see Saving Private Ryan with Matsuhana, Nishimura, and Nakamura. We prepared the tickets we’d bought earlier and went off to Shibuto Cine Tower. But we get there, and what do you know, it was already standing room only! Is it really that popular? …..and then an announcement that “it’s 1000 yen today”. I see, so it was Movie Day. I don’t have the strength to stand for a 3 hour movie, and was giving this look of “what should we do” just as the board on the theatre over yonder caught my eye. “Austin Powers”. Right away, we crossed the street in the light rain and switched to Austin Powers. Daaaaaaang, that was funny. But maybe only people over 30 will get that kind of comedy? I might need to re-watch 007 again for MGS2’s development.","","",""
"scan/entry_003.png","""【98・10・23(金)】 今日は僕の胃、十二指腸、小腸、大腸の通しバリウム検査日である。 KGBでは機密漏洩をチェックするために、嘘情報をわざと流すことを「バリウムを使う」と言ったそうだ。 いつもより、30分家を遅く出る。息子が玄関で見えなくなるまで手を振ってくれる。 5泊6日分の出張用荷物なので、通勤が大変。 前日に会社にスーツだけ分担運搬しておいて正解。""","October 23, 1998 (Friday) Today is the day of my barium test for my stomach, duodenum, small intestine, and large intestine. In the KGB, they used to say ""using barium"" referred to deliberately leaking false information to check for security breaches. I left the house 30 minutes later than usual today. My son waved at me until I disappeared from sight at the door. Commuting is tough with luggage for a 6-day, 5-night business trip. It was a good idea to send just my suit to the office in advance yesterday.","-98/10/23 (Friday) Today was the day of a barium test for my stomach, duodenum, small intestine and large intestine. It appears the KGB would call it “using barium” when they intentionally passed on false information to check for leaks. I left home 30 minutes later than usual. My son waved from the doorway until I was out of sight. My bags were packed for a 5-night, 6-day business trip, so it was difficult getting to work. I should have at least brought my suits to work the day before.","","",""
"scan/entry_004.png","【98・10・29(木)】 IMAGICAでモーションキャプチャーを行なう。 朝礼があるので、10時過ぎに出発してもらう。 キャプチャースタジオの桜亭に案内してもらう。 IMAGICAには2年ぶり。 ちょうど、東京に来たばっかりの際、TGS用のビデオ編集で行ったことがある。代理店のスタッフと夜中まで仕事をした。 僕が到着したときにはすでにセッティングが終わっていた。 トヨピーを中心にキャプチャーを取り出す。 まずはメイリンから。ミズピンのつくったメイリン(テクスチャーなし)のモデルがアクターさんの動きに合わせて、リアルタイムに動く。 離れてみると、かなり本物にみえる。 今回は磁気式での収録。アクションが小さいためにもっとも小さいスタジオでの収録。 アクターさんは女優さんでかなりのべっぴん。「サイレントヒル」にも子供役で出たとのこと。 1シューティングずつ、演技をつけていく。何しろ、アクターへの演技づけは初めてなので、手探り状態で進める。 それでも、3年前に技研で実験をした際とは比較にならないくらい進歩している。段取りもいい。やはりすべてを自社でやるのは無理。効率を考えるべき。 昼に一度、恵比寿に帰り、5時に再びIMAGICAへ。 トヨピーはかなり慣れたせいか、リラックスしている。 予定していたシューティング数を取り終えたので、残りの30分、アドリブで収録する。 アクターさんが習っている日舞やナオミのファイルを使った「ドジョウすくい」は見ものだった。 キャプチャー用のデータスーツ、ヘルメットを脱いだ女優さんに挨拶する。 きれいな素敵な人だった。 これからこういう職業が増えるのかもしれない。","October 29, 1998 (Thursday) We did motion capture at IMAGICA today. Since we had a morning meeting, we didn’t leave until after 10 a.m. We were guided to the capture studio, Sakuratei. It’s been two years since I last visited IMAGICA. The last time was when we edited a video for TGS right after I moved to Tokyo, working late into the night with the agency staff. By the time I arrived, the setup was already complete. Under Toyopi’s direction, we began capturing. First up was Mei Ling. Mizpin’s model of Mei Ling (without textures) moved in real-time, perfectly synced with the actor’s movements. From a distance, it looked incredibly lifelike. This time, we used magnetic capture. Since the actions were small, we recorded in the smallest studio. The actor was a beautiful actress who had even played a child role in Silent Hill. We added direction to each shot, though it was my first time guiding an actor’s performance, so I was figuring things out as I went. Despite that, we’ve come a long way since the experiment we did at the research lab three years ago. The workflow is much smoother now. It’s clear that handling everything in-house is impossible. We need to prioritize efficiency. At noon, I returned to Ebisu, then went back to IMAGICA at 5 p.m. Toyopi was much more relaxed, likely due to his experience. We finished capturing all the planned shots, and with 30 minutes left, we decided to do some improvisation. The actress performed Dojo Sukui, which she had learned through traditional Japanese dance, using Naomi’s file—it was fascinating to watch. Afterward, I greeted the actress when she removed the data suit and helmet. She was a beautiful and lovely person. I wonder if this kind of profession will become more common in the future.","-98/10/29 (Thursday) Did motion capture at IMAGICA. We had a morning meeting, so left some time after 10. I was guided around Otei capture studio. It’s been 2 years since I’ve been to IMAGICA. I went when I had just arrived in Tokyo to do some video editing for TGS. I worked with the staff there through the dead of night. Set up was already finished by the time I arrived. Toyopi (So Toyota) was front and center handling the captures. We started with Mei Ling. A (texture-less) model of Mei Ling made by Mizupin (Probably Takashi Mizutani) moved in real time matching the actress’ movements. From a distance, it looks quite realistic. A magnetic motion capture system was used. There was limited action this time, so we recorded in a small studio. The actress was quite a looker. She had also done work as the kids in Silent Hill. Actions were done 1 per shooting. It was the first time she was directed for each of the actions, so things proceeded with some fumbling around. Even so, the progress was beyond comparison to what we had tested out 3 years earlier. The programming was good too. I guess it really is impossible to do everything ourselves. We need to think efficiently. We headed back to Ebisu for a bit in the afternoon before going to IMAGICA again at 5. Toyopi was well familiarized with everything and was relaxed. We had captured all the shootings we had expected to, so did adlib recording for the remaining 30 minutes. The traditional dancing the actress had learned and the dojou sukui done using Naomi’s file were quite the sight. We greeted the actress once she’d taken off her motion capture suit and helmet. She was a pretty and cool person. These kinds of jobs may increase in the future.","IMAGICA: A prominent Japanese post-production company. Dojo Sukui (ドジョウすくい): A traditional Japanese comedic dance that mimics scooping loaches (a type of fish).","",""
"scan/entry_005.png","【98・10・30(金)】 今朝は病院へ行く予定であったが、おなかの調子がいいので、行くのを取りやめていつもどおりに会社へ。 薬は今日でなくなるがそれでいい。 企画合宿以降、福島に元気がない。僕のほうも元気がない。頼りにしていた福島であるが、新川たちの指摘どおり、キャラやプロットに魅力が薄い。やはり今回も僕がベタやるしかないか。","October 30, 1998 (Friday) I had planned to go to the hospital this morning, but since my stomach feels fine, I canceled the visit and went to the office as usual. The medication runs out today, but that’s okay. Since the planning retreat, Fukushima has been lacking energy. I’m also feeling down. I had been relying on Fukushima, but just as Shinkawa and the others pointed out, the characters and plot are lacking in appeal. It looks like I’ll have to take over and handle everything directly again this time.","-98/10/30 (Friday) I planned to go to the hospital this morning, but my stomach felt fine, so I decided not to and went to work as usual. I might run out of medicine today.","Shinkawa: Likely refers to Yoji Shinkawa, the lead artist for the Metal Gear series. Fukushima: Likely refers to Tomokazu Fukushima, the co-writer of several video games in the Metal Gear series","",""
"scan/entry_006.png","""【98・10・31(土)】 GBCを購入してしばらくそのままにしていた。 欲しいソフトがないので、このままではまた稼働しないまま放置することになりそう。 自分の部屋でGBの「マリオ」(最初の)を発見する。 GBに接続、遊んでみると、なんとまあ、面白い。 ゲームの基本だ。色は4色でやや見にくいが、これで も十分かも。 14時、村岡さんとサウンド担当者と恵比寿を出る。14 時15分ごろにパンテノンに到着。東京ファンタの行列 は1Fから5Fあたりまで確認。 うちのサウンド担当者が出社前に見知らぬ兄さん(『エ スケイプ・フロム・LA」の帽子) に席取りをお願い していたために2F付近の好位置をキープ。お兄さんに はお礼にメタルの帽子を進呈する。 まだ4時間以上もあるので、村岡さんとタワーレコードと本屋へ行く。「ダークシティ」のCDとスナイパー小説を購入。 再び列に参加するが、この年になるとかなりつらい。 なんと偶然ではあるが、LA兄ちゃんの友達がコナミ グループの人間であった。その彼が彼女を連れてくる。 これで、僕らのグループは5人になる。開演に近づく につれ、TV局のカメラが増える。LA兄ちゃん、カメ 「ラに捕まり、インタビューを受けていた。 最後に何を血迷ったか、「メタルギア好評発売中!」 と宣伝をしてくれた。 17時30分過ぎ、サウンドスタッフの友達が到着。友 達はスクウェアの「FFT」をつくった松野氏。サラリ ーマンらしく階段で名刺交換をする。待ちながらお互 こいの近況を語り合う。なかなかの好青年。 18時、ようやく開演。前から5列目くらいの好位置を 確保。内装に飾りつけやライティングが施されて、い つもとは違う様子。パンテノンには見えない。 オープニングが華々しく、行なわれる。カンフーのア クションイベントに続いて、ゲストの挨拶。ブルー ス・リーの奥さん、永井豪氏など･･････。 19時、ついに「ヴァンパイア/最期の聖戦」。冒頭にジ ョン・カーペンターのインタビュー映像。一時期より も元気そう。なかなか面白いインタビューであった。 ヴァンパイア、カーペンター復活!!! というくらい、いいでき。テーマがいい。 これぞカーペンターにうってつけのお話だ。 映画終了後、村岡さんと原宿で夕飯。ビールを飲み ながら、企画合宿の話、「MGS2』の概略を説明する。 思えば、前作も最初に企画、プロットを話した相手が 村岡さんだった。あれば三宮の駅構内の茶店だったと 記憶する。そのあと、恵比寿の飲み屋で12時まで飲 む。""","[Saturday, October 31, 1998] I bought a Game Boy Color (GBC) and left it unused for a while. Since there aren’t any games I want, it seems it might end up being left unused. I found the original ""Mario"" for the Game Boy in my room. I connected it to the Game Boy and started playing, and wow, it’s really fun. This is the essence of gaming. The colors are limited to four and a bit hard to see, but even so, it’s more than enough. At 2:00 p.m., I left Ebisu with Muraoka-san and the sound team. We arrived at Pantheon around 2:15 p.m. The line for the Tokyo Fantasia Film Festival extended from the 1st to the 5th floor. One of our sound team members had asked a stranger (wearing an ""Escape from L.A."" hat) to hold a spot before he came to the office, so we managed to secure a good position around the 2nd floor. As a thank-you, we gave the guy a Metal Gear hat. Since there were still more than four hours to wait, Muraoka-san and I went to Tower Records and a bookstore. I bought the ""Dark City"" soundtrack CD and a sniper novel. We rejoined the line, but waiting like this at my age is pretty tough. Coincidentally, the guy with the L.A. hat had a friend who worked at Konami. That friend brought his girlfriend along. Now our group had five people. As the start time approached, more TV cameras appeared. The L.A. guy got caught by a camera and was interviewed. At the last minute, in a moment of madness, he shouted, ""Metal Gear is now on sale!"" After 5:30 p.m., a friend of our sound staff arrived. His friend was Matsuno-san, the creator of Square's ""FFT."" Like proper businessmen, Matsuno-san and I exchanged business cards on the stairs. We chatted about recent events while we waited. He seemed like a really nice guy. Finally, at 6:00 p.m., the event started. We secured a great spot about five rows from the front. The interior was decorated with lighting, giving it a different feel—almost unrecognizable as Pantheon. The opening was spectacular, with a kung fu action event followed by guest greetings. Guests included Bruce Lee’s wife and Go Nagai. At 7:00 p.m., ""Vampires"" (Vampires: The Last Battle) finally started. The film opened with an interview with John Carpenter. He looked healthier than before, and the interview was quite interesting. Vampires marked Carpenter's comeback!! It was well done. The theme was excellent. This story was perfect for Carpenter. After the movie, Muraoka-san and I had dinner in Harajuku. While drinking beer, I talked about the planning retreat and explained the outline of ""MGS2."" Come to think of it, the first person I discussed the plot and concept of the previous game with was also Muraoka-san. I remember it was at a tea shop in Sannomiya Station. After that, we drank at a bar in Ebisu until midnight.","-98/10/31 (Saturday) I bought a GBC and then just set it aside for now. There aren’t any games that I want, so it will probably end up just lying around not being used. I found the (original) GB Mario in my room. I plugged it into the GB and played it and well, it’s fun. It’s a game at its fundamentals. Only 4 colors and a bit ugly, but still good enough. Left Ebisu with Muraoka and the sound guy. Arrived at Pantheon around 2:15. Saw that the line for Tokyo Fantastic went from the 1st to the 5th floor. Our sound guy hadn’t left work yet, so I asked some guy I didn’t know (in an Escape from LA hat) to hold seats for us, and he saved a good spot on the 2nd floor. I gave him a Metal Gear hat as thanks. We still had over 4 hours, so I went to Tower Records and a book store with Muraoka. I bought a Dark City CD and a Sniper novel. We got back in line again, but it’s quite tough at this age. By coincidence, it turned out that LA guy’s friend was part of Konami group. And he'd brought his girlfriend with him. That made 5 of us in the group. As we got closer to the event starting, the number of TV station cameras there increased. LA guy got caught on camera and did an interview. I don’t know if he lost his mind, but at the end he said “Metal Gear is available now”. A bit after 5:30, our friend from the sound staff arrived. It was Matsuno, who had made FFT for Square. He was exchanging business cards with people on the stairs like a salaryman. We talked about our recent circumstances as we waited. He’s a real good guy. Things finally started at 6. We found our good spot in the 5th or so row from the front. With all the decorations and lighting, it didn’t look like the Parthenon. The opening was spectacular. After a Kungfu action event, they introduced the guests. People like Bruce Lee’s wife, Go Nagai, etc… Then at 7 it was “Vampires”. It started with an interview video with John Carpenter. He seemed more energetic than before. It was quite a good interview. Vampire was so good, it felt like Carpenter was really back! It had good themes. It was a story that had Carpenter written all over it. Once the movie ended, I went to dinner in Harajuku with Muraoka. We talked about a planning boot camp while drinking beer and I explained the outline of MGS2. Now that I think about it, it was Muraoka that I talked to about the plot of the last one too. It was at a café in Sannomiya station if I recall. Afterwards, we drank until 12 at a bar in Ebisu.","""Pantheon"" likely refers to a specific venue or theater, possibly used for special events or screenings. ""FFT"" refers to ""Final Fantasy Tactics,"" a well-known game developed by Square. ""Comiket"" is short for Comic Market, a large convention in Japan for manga, anime, and other related merchandise.","",""
"scan/entry_007.png","【98・11・1(日)】 TVでグレン飛行士のニュースをやっている。息子と 宇宙にいく約束をしているが、果たせるだろうか? もっとも彼が言うところの、ロケット""はスペースシャ トルではなく、ウォレスとグルミットの『チーズ・ホ リデー』のロケットらしいが。 一日、家で本を読む。ナンシー・コリンズの「ブラッ ク・ローズ」を読み終える。","November 1, 1998 (Sunday) They’re broadcasting news about astronaut John Glenn on TV. I’ve made a promise to my son that we’ll go to space together someday, but will I be able to keep it? Though, according to him, the ""rocket"" we’ll take isn’t a space shuttle but the one from Wallace and Gromit’s A Grand Day Out. I spent the day at home reading. I finished Nancy Collins’ Black Rose.","98/11/1 (Sunday) I saw the news about John Glenn on TV. He’s promised to go with his son to space, but I wonder if he can keep it? He talks about rockets less like the space shuttle and more like the rocket from Wallace and Gromit’s cheese holiday. I spent the day reading a book at home. I finished Nancy Collins’ “A Dozen Black Roses.”","John Glenn: A famous American astronaut, known for being the first American to orbit the Earth and later returning to space as an older man in 1998.","Who made the promise Kojima or the Austronaut?","Kojima. I can see where the human got tripped up, since 息子 is usually used to speak about other people's kids. In the entry on line 56 he does this again. It implies a distance from his family that is a little sad... Side note: I like the less personalized ""They're showing some news about Astronaut (John) Glenn on TV"" to match Kojima's phrasing more, but thats a nitpick. I would have expected the AI, not the human, to have trouble here. I'm surprised!"
"scan/entry_008.png","""【98・11・4(水)】 ""ドイツのTV取材があった。インタビュアーとカメラマンが重いジュラルミンケースに入れて機材を運んでくる。ふたとも、ドイツ人らしい風貌である。インタビュアーは耳にピアス、もうひとりは「X-ファイル」のモルダー捜査官（デビッド・ドゥカブニー）に酷似している。あまりにも似ているので、スコットにそのことを翻訳してもらおうとするが、スコットは「似てない」といい、翻訳してくれなかった。 スコットがニューヨークにしばらく住んでいたと聞き、すかさずマンハッタン島近辺について質問をする。自由の女神からウォール街の距離、ソーホーやチャイナタウン、リトルイタリーやブルックリンの治安や地理的なことを少し。このぶんだと、「MGS2」の舞台をマンハッタンにしても問題ないだろう。スコットにマンハッタンの詳細地図を頼む。ニューヨーク取材のときには「元町よりも詳しい」という彼の言葉を信じてみよう。 タンカー原油流出事故のあと始末につくられた洋上プラント(人工島)を武装集団が占拠、では少し弱いということで、視察に来た大統領も人質にすることにする。物語の冒頭にいきなり大統領を殺害、ユーザーの予測を裏切る。実は大統領は替え玉。任期切れの間近の大統領ソリダスは地下に潜るために偽装工作を行なう。""","November 4, 1998 (Wednesday) We had a TV crew from Germany come for an interview. The interviewer and the cameraman arrived carrying their equipment in heavy aluminum cases. Both had very stereotypically German appearances. The interviewer had an earring, and the other guy looked strikingly similar to Agent Mulder (David Duchovny) from The X-Files. He looked so much like him that I wanted Scott to translate my comment, but Scott said, ""He doesn’t look like him"" and refused to translate. I learned that Scott had lived in New York for a while, so I immediately asked him about the Manhattan area. I asked about the distance between the Statue of Liberty and Wall Street, as well as a bit about the geography and safety of places like SoHo, Chinatown, Little Italy, and Brooklyn. Based on this, it seems like setting MGS2 in Manhattan shouldn’t be a problem. I asked Scott to get me a detailed map of Manhattan. I’ll trust him when he says he knows it better than Motomachi (a famous area in Yokohama). The idea of an armed group taking over an offshore plant (artificial island) built to clean up an oil spill feels a bit weak. So, we’ll have them take the visiting president hostage as well. To subvert the player's expectations, we’ll kill the president right at the start of the story. But the twist is that the president was a body double. The real president, Solidus, whose term is almost over, fakes his death and goes underground.","98/11/4 (Wednesday) Had an interview with a German TV channel. The interviewer and cameraman brought their equipment in a heavy duralumin case. Both of them looked German. The interviewer had ear piercings, and the other one looked just like Special Agent Mulder from The X-Files (David Duchovny). They looked so alike that I asked Scott (Scott Dolph) to translate that and tell them, but he said they didn’t look alike and he didn’t translate it for me. I heard that Scott had lived in New York for a bit, and immediately asked him about the area around of Manhattan Island. He told me a bit about the distance from the Statue of Liberty to Wall Street, and the safety and geography of Soho, Chinatown, Little Italy, and Brooklyn. With this much, I should have no problems setting MGS2 in Manhattan. I’ll ask Scott for a detailed map of Manhattan. When I go to New York to gain information, I’ll trust what he says since he’s so familiar with it. An armed group takes over the offshore plant (artificial island) that was built after the tanker incident, and since they’re a bit weak, they decide to take the president, who has come to inspect the plant, hostage as well. The president is suddenly killed at the start of the story, and then player expectations are subverted. The president was actually a body double. President Solidus, nearing the end of his term, creates a cover to go underground.","","In the Final Paragraph. Is the story or the military force weak? Kojima is a writer so that why I thought the AI translation made sense","Reading this again, I think the AI is right actually. He felt the story point was weak and beefed it up with the president kidnapping."
"scan/entry_009.png","""【98・11・8(日)】 午後から会社へ。『MGS』のPAL版にストップバグが あるとの連絡がRMCよりくる。植原君に詳細を聞く。 やはりメモリーオーバー。ヘリポートにおいて、ステ ィンガーで監視カメラを壊した瞬間にサーマルゴーグ ルをかぶるとストップする。修正して、明日にCS国 際へ渡す。植原君はROM焼きのために泊まり。最近 の彼は自信と余裕、責任感が出てきている。いいこと だ。 ツタヤでビデオを借りる。『地獄の警備員」と「プレ ーキ・ダウン』。帰宅後、息子を寝かせてから、カー ト・ラッセルの『ブレーキ・ダウン」を観る。あまり にも面白く、体に力が入るほど。あの緊張感はやは り、カート・ラッセルが一般人で脆弱であるためか? 『MGS』でこの緊張感を出すには主人公を一般人にし なければならないだろう。･･････それではゲームになら ないが。 夜の9時からTVでジョン・ウーの『ブラック・ジャッ ク』という日本未公開のTV映画が放映される。主人 公のドルフ・ラングレンは大塚明夫さんが声をあてて いる。閃光弾で目をやられたラングレンが子供の指示 (12時方向に敵!) にしたがって敵を撃つシーケンス は使えるかもしれない。冒頭だけ観て寝る。 夜中に大きな地震がある。神奈川県震度4、都内は震 度3。地震は嫌なもんである。 何度も変な夢を見る。","November 8, 1998 (Sunday) I went to the office in the afternoon. RMC informed us that there is a stop bug in the PAL version of MGS. I asked Uehara-kun for details. As expected, it's a memory overflow issue. At the heliport, if you destroy the surveillance camera with a Stinger missile and then immediately put on the thermal goggles, the game freezes. We’ll fix it and send it to CS International tomorrow. Uehara-kun is staying overnight to burn the ROM. Lately, he's gained confidence, composure, and a sense of responsibility—this is good to see. I rented some videos at Tsutaya: Hell's Guard and Breakdown. After putting my son to bed, I watched Kurt Russell’s Breakdown. It was so gripping that I found myself tensing up. I wonder if that tension comes from the fact that Kurt Russell's character is just an ordinary, vulnerable man. To create that kind of tension in MGS, the protagonist would need to be an ordinary person... but then it wouldn’t be a game. At 9 p.m., the Japanese TV premiere of John Woo’s Blackjack aired. The main character, played by Dolph Lundgren, is voiced by Akio Ōtsuka. There’s a sequence where Lundgren, after being blinded by a flashbang, follows a child's instructions (""Enemy at 12 o’clock!"") to shoot at enemies—this could be useful. I watched the opening scene, then went to bed. There was a big earthquake late at night. It was a magnitude 4 in Kanagawa and a 3 in Tokyo. Earthquakes are unpleasant. I kept having weird dreams.","98/11/8 (Sunday) Went to work in the afternoon. I was contacted by RMC that there was a freezing bug on the PAL version of MGS. Uehara filled me in on the details. It turned out to be memory overload. At the heliport, if you put on thermal goggles the moment the stinger’s 1st person camera broke, it would freeze. We fixed it for handover to CS international tomorrow. Uehara stayed to burn the ROM. He’s been showing confidence, flexibility, and a sense of responsibility recently. It’s a good thing. I borrowed some videos at Tsutaya: “The Guard from Underground” and “Break Down.” I went home, and after putting my son to bed, watched Kurt Russell’s “Break Down”. It was so interesting it gave me strength. Does the sense of tension come from Kurt Russell being a weak, ordinary person? I’ll need to make the protagonist of MGS an ordinary person to create that kind of tension……but that won’t make for a game. At 9pm they were broadcasting John Woo’s “Blackjack”, never before released in Japan. Akio Otsuka did the voice of main character Dolph Lundgren. I might be able to use that sequence where the kid was telling Lundgren where to shoot after he’d been blinded by a flashbang grenade (enemy at 12 o’clock!). I only watched the beginning then went to sleep. There was a big earthquake in the middle of the night. It was a 4 in Kanagawa prefecture, and a 3 in Tokyo. Earthquakes are terrible. I had a lot of weird dreams.","Tsutaya: A popular video rental store chain in Japan. Akio Ōtsuka: A renowned Japanese voice actor, known for voicing Solid Snake in the MGS series,","",""
"scan/entry_010.png","98・11・9(月) 15時からセントラル録音で「MGS」のラジオドラマ (第三話)の収録がある。 コルテズ大佐役に懐かしい阪さんが参加。 やはり、阪さんは素晴らしい。テンションがあがると、 ゲイツ・ベッカーを彷彿させる迫真の演技。聞いてい るほうが息苦しくなるくらい。 雑誌社が数社、アフレコ現場に取材に来ていた。スタジオで声優さんと記念撮影。大塚さんが「監督、真ん中にどうぞ!」と言ってくれたが、いちばん端で撮影する。大塚さんは『MGS』(スネーク役)をかなり気に入ってくれているようだ。 阪さんがあまりにもいい味なので、「MGS2」に阪さん用のキャラを考える。銀座のラーメン屋で村岡さんととりとめのない話をする。 ベトナム戦争中にスナイパーをつとめた、64人もの敵を倒した伝説の男。しかし、実は狙撃兵ではなく、観測兵。最初の任務でのミスを犯し、伝説の男を死なせてしまった。今は洋上プラントの警備保安員をしている。最愛の妻に死なれ、ひとり息子にも愛想をつかされている。自分の過去を知られ、それ以来、息子家族とは疎遠。 洋上プラントの内容について詳しい。最後にスネークの観測員をうまく務める。 塩沢兼人さんの役も考えるが、いい役割が浮かばない。 銀座で『リプレイスメント・キラー』を観る。ジョン・ウーが撮れば同じストーリーでもさぞ面白かっただろうという内容。ユンファが格好悪かった。銃撃戦にアイデアがない。彼を男らしく撮れるのはやはりジョン・ウーだけだろう。 今日の名前。ライデン・ブラニガン。 ソリダスは気体、陽炎、存在しない存在。","November 9, 1998 (Monday) At 3 p.m., we had a recording session at Central Recording for the third episode of the MGS radio drama. Mr. Saka, who played Colonel Cortez, participated, and it was nostalgic to work with him again. As expected, Saka was amazing. When he gets into character, his performance is so intense that it reminds me of Gates Becker. It was so gripping that it made you feel short of breath just listening to it. Several magazines came to the voiceover session to cover the recording. We took a commemorative photo with the voice actors in the studio. Ōtsuka-san (Solid Snake’s voice actor) kindly said, ""Director, please stand in the center!"" but I chose to stand at the far end. It seems Ōtsuka really likes MGS (the role of Snake). Saka’s performance was so outstanding that I started thinking of a character specifically for him in MGS2. Later, I had a casual conversation with Muraoka at a ramen shop in Ginza. We discussed an idea about a legendary sniper who served during the Vietnam War and took down 64 enemies. But in truth, he wasn’t a sniper—he was a spotter. Due to a mistake on his first mission, the real legendary sniper was killed. Now, he works as a security officer on an offshore plant. His beloved wife has passed away, and his only son has distanced himself from him. His past became known, and since then, he's been estranged from his son's family. He knows the offshore plant well and ends up serving as Snake’s spotter in the end. I also thought about a role for Kaneto Shiozawa, but I couldn’t come up with a good part for him. Afterward, I watched The Replacement Killers in Ginza. The content made me think it would have been a great film if John Woo had directed it, even though the story was the same. Chow Yun-Fat didn’t look cool, and the gunfight scenes lacked creativity. Only John Woo knows how to film him in a truly manly way. Today's name: Raiden Branigan. Solidus is gas, a mirage, a non-existent existence.","98/11/9 (Monday) Had a recording for the MGS radio drama (episode 3) at Central Recording from 3. Saka was back to play the role of Colonel Cortez. He really is amazing. It was a realistic performance evocative of Gates Becker. So much so that listening to it feels suffocating. People from a few different magazines came to report on this or that. Took a commemorative photo with the voice actors at the studio. Otsuka told me “director, please get in the middle”, but we took the photo with me on the very end. It seems Otsuka (voice of Snake) really likes MGS. Saka is really great, so I thought about a character for him in MGS2. Had a rambling conversation with Muraoka at a ramen shop in Ginza. A legendary man who worked as a sniper in the Vietnam war, taking out 64 enemies. But actually, he’s not the sniper, but a spotter. He caused that legendary man to miss on his first mission and got him killed. Now he works security at an offshore plant. His beloved wife has passed away, so now he’s devoted to his only son. He then becomes estranged from his son once he finds out about his past. He’s familiar with the interior of the offshore plant. In the end he serves well as a spotter for Snake. I tried thinking of a role for Kaneto Shiozawa too, but no good role came to mind. Saw “the Replacement Killers” in Ginza. I think the same story could have been a lot better if John Woo had made it. Chow Yun-Fat sucked. The gunfights were uninspired. I guess only John Woo can make him look manly. Today’s name. Raiden Brannigan Solidus is gas, haze, an existence that doesn’t exist.","","",""
